rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
43,Owen,Jenkins,Owen Jenkins,Male,,,https://athxgames.com/storage/profile-photos/XRihxZxjtYPjw384bCpONd7CChC7O29JpfGwgIq4.png,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
43,Zak,White,Zak White,Male,,,https://ui-avatars.com/api/?name=Z+W&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
43,Jacob,Sturgess,Jacob Sturgess,Male,,,https://ui-avatars.com/api/?name=J+S&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
48,Jake,Southall,Jake Southall,Male,,,https://ui-avatars.com/api/?name=J+S&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
49,Tom,Daly,Tom Daly,Male,,,https://ui-avatars.com/api/?name=T+D&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
50,Joe,Naylor,Joe Naylor,Male,,,https://ui-avatars.com/api/?name=J+N&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
50,Rory,McQueen,Rory McQueen,Male,,Caveman training,https://ui-avatars.com/api/?name=R+M&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
50,Joel,Roura,Joel Roura,Male,,,https://ui-avatars.com/api/?name=J+R&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
53,Russ,Hollingsworth,Russ Hollingsworth,Male,,,https://ui-avatars.com/api/?name=R+H&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
54,Rory,Morgan,Rory Morgan,Male,United Kingdom,360 STUDIO,https://ui-avatars.com/api/?name=R+M&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
55,Paul,Wagner,Paul Wagner,Male,Germany,Gladiatorarea76,https://ui-avatars.com/api/?name=P+W&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
55,Matt,Dewhurst,Matt Dewhurst,Male,United Kingdom,Pro-Fit Personal Training,https://athxgames.com/storage/profile-photos/ia9x89mHxr5sPmzwsADMbqLOpszd7aeKXURWPhbW.jpg,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
57,Michael,Atkinson,Michael Atkinson,Male,,,https://ui-avatars.com/api/?name=M+A&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
58,Michael,Spangler,Michael Spangler,Male,,,https://ui-avatars.com/api/?name=M+S&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
58,Danny,Rae,Danny Rae,Male,,,https://ui-avatars.com/api/?name=D+R&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
60,Matt,Jones,Matt Jones,Male,,,https://ui-avatars.com/api/?name=M+J&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
60,Paul,TORTOISHELL,Paul TORTOISHELL,Male,,,https://ui-avatars.com/api/?name=P+T&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
60,Sean,Mccarthy,Sean Mccarthy,Male,,,https://ui-avatars.com/api/?name=S+M&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
63,Stewart,Wallace,Stewart Wallace,Male,,,https://ui-avatars.com/api/?name=S+W&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
64,Lance,Ogunyode,Lance Ogunyode,Male,,,https://ui-avatars.com/api/?name=L+O&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
65,Benjamin,Zeal,Benjamin Zeal,Male,,,https://ui-avatars.com/api/?name=B+Z&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
66,Sean,James,Sean James,Male,,,https://ui-avatars.com/api/?name=S+J&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
67,Ryan,James,Ryan James,Male,,,https://ui-avatars.com/api/?name=R+J&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
68,Simon,Murphy,Simon Murphy,Male,,,https://ui-avatars.com/api/?name=S+M&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
69,Paul,Salisbury,Paul Salisbury,Male,United Kingdom,,https://athxgames.com/storage/profile-photos/1slfogZKp2v3Rz59lDu7nHW52bOQhxZiwrOVuEit.jpg,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
70,Marcus,Opoku,Marcus Opoku,Male,,,https://ui-avatars.com/api/?name=M+O&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
1,Anna,Rogan,Anna Rogan,Female,,,https://ui-avatars.com/api/?name=A+R&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
2,Jessica,Logan,Jessica Logan,Female,,,https://ui-avatars.com/api/?name=J+L&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
3,Emily,Smith,Emily Smith,Female,United Kingdom,MEE-FIT,https://ui-avatars.com/api/?name=E+S&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
4,Verity,Collins,Verity Collins,Female,,,https://ui-avatars.com/api/?name=V+C&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
5,Laura,Rolph,Laura Rolph,Female,,,https://ui-avatars.com/api/?name=L+R&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
6,Clare,Hesselwood,Clare Hesselwood,Female,,,https://ui-avatars.com/api/?name=C+H&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
6,Laura,Wood,Laura Wood,Female,,,https://ui-avatars.com/api/?name=L+W&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
6,kate,bennett,kate bennett,Female,,,https://ui-avatars.com/api/?name=k+b&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
6,Emma,Fishlock,Emma Fishlock,Female,,,https://ui-avatars.com/api/?name=E+F&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
6,LUCIA,GRAY,LUCIA GRAY,Female,,,https://ui-avatars.com/api/?name=L+G&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
6,Sophia,Herne,Sophia Herne,Female,,,https://ui-avatars.com/api/?name=S+H&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Strength,,,,,
