rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
17,Celine Voß & Jule Paulsen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,17:45,,,,,,17
18,Miriam Blaettler & Veronika Guessregen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,18:17,,,,,,18
19,Jennifer Morrice & Janin Steitz,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,18:43,,,,,,19
20,Marina Hellenthal & Kerstin Kukla,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,18:56,,,,,,20
21,Denise Rintisch & Azadeh Ghavamy,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,19:42,,,,,,21
22,Anne A & Julia Achter,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,20:19,,,,,,22
23,Polina Dmitrovskaya & Mia Schütt,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,24:06,,,,,,23
24,Yoonji Jang & amy charlton,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,25:22,,,,,,24
1,Lukas Benzinger & Anselm von Ritter,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Lite,Overall,4 (243KG),1 (17.559KM),1 (16:01),,,,,,6
2,Daniel Rath & Maik Leber,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Lite,Overall,3 (258KG),3 (16.874KM),4 (18:15),,,,,,10
3,Gerardo Torres & ROBERTO GALINDO,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Lite,Overall,2 (265KG),6 (15.911KM),3 (17:33),,,,,,11
4,Devin Aksu & Daniel Galas,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Lite,Overall,1 (270KG),5 (16.063KM),6 (22:00),,,,,,12
5,Hareesh Goutham & Konstantin Lidvanskii,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Lite,Overall,6 (216KG),7 (15.81KM),5 (18:51),,,,,,18
6,Armando Severino Pepe & Ermerson Ricamora,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Lite,Overall,7 (175KG),4 (16.281KM),8 (25:22),,,,,,19
7,Chan Hua Ngo & Chan Sieu Ngo,ATHX BERLIN 2025,Germany 🇩🇪,2025,Male,ATHX Lite,Overall,5 (220KG),8 (14.586KM),7 (23:48),,,,,,20
1,Maximilian Brandl & Franziska Koch,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,12:48,,,,,,1
2,Timm Witzke & Kimberly Günzel,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,13:07,,,,,,2
3,Ezzahra Mardoume & Nico Küttner,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,13:18,,,,,,3
4,Fabian Eisenlauer & Jennifer Nikolaus,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,MetCon X,,,13:24,,,,,,4
