rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
345,Santiago,García,Santiago García,Male,,,https://ui-avatars.com/api/?name=S+G&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,2.081KM,1.888KM
346,Eduardo,Salvago Díaz,Eduardo Salvago Díaz,Male,,,https://ui-avatars.com/api/?name=E+S+D&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.467KM
347,Otmane,El Manser,Otmane El Manser,Male,Morocco,,https://ui-avatars.com/api/?name=O+E+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.852KM,2.105KM
348,Antonino,Romeo,Antonino Romeo,Male,,CrossFit hostilius,https://ui-avatars.com/api/?name=A+R&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.45KM
349,Axel,OSTA AMIGO,Axel OSTA AMIGO,Male,,,https://athxgames.com/storage/profile-photos/BKDr3ehIjmyC8yb2tg71JKgdwE1Hgl6ToGJhqyBz.jpg,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.442KM
350,Adi,Milak,Adi Milak,Male,,,https://ui-avatars.com/api/?name=A+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.421KM
351,Louis,McCaffery,Louis McCaffery,Male,,,https://ui-avatars.com/api/?name=L+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.407KM
352,Willy,Garcia,Willy Garcia,Male,,,https://ui-avatars.com/api/?name=W+G&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.406KM
353,Christopher,Kellie,Christopher Kellie,Male,,,https://ui-avatars.com/api/?name=C+K&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,2.165KM,1.74KM
354,Victor,Gonzalez,Victor Gonzalez,Male,,,https://ui-avatars.com/api/?name=V+G&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.399KM
355,Dylan,Evans,Dylan Evans,Male,,,https://ui-avatars.com/api/?name=D+E&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,2KM,1.895KM
356,Walter,Marini,Walter Marini,Male,,,https://ui-avatars.com/api/?name=W+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,2.25KM,1.637KM
357,Richi,Ciutad Tornil,Richi Ciutad Tornil,Male,,,https://ui-avatars.com/api/?name=R+C+T&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,2.25KM,1.631KM
358,Chakib,Aziz,Chakib Aziz,Male,France,Fitness park Cormontreuil,https://athxgames.com/storage/profile-photos/xS1ZJvUqUECA0A9ZDbWDfYeeOipDK8AWWkOILild.jpg,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.379KM
359,Jordi,Marcos,Jordi Marcos,Male,,,https://ui-avatars.com/api/?name=J+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.75KM,2.126KM
360,ALI,DEMIR,ALI DEMIR,Male,,,https://ui-avatars.com/api/?name=A+D&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.372KM
