rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
12,Alonso Chaupis & Eduardo Caucho,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,120KG,220KG,280KG,,,12
12,Carlos Orozco & Juan m Galvis,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,120KG,220KG,280KG,,,12
14,Armando Rey & Ani Pendurthi,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,130KG,220KG,260KG,,,14
15,Sean Velas & Michael Oyarzun,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,153KG,145KG,300KG,,,15
16,Fede Sandoval & Alejandro Alba,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,125KG,240KG,200KG,,,16
17,Garrett Lynn & Zachary Grimsdale,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,120KG,220KG,200KG,,,17
1,Hannah Hardy & Sydney Witter,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Strength,,,,130KG,253KG,338KG,,,1
2,natalie OrtiZ & Winter Rodriguez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Strength,,,,130KG,230KG,300KG,,,2
3,Jessi Kuhlman & Jacy Kuhlman,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Strength,,,,113KG,230KG,300KG,,,3
4,Deb Graff & Anikha Greer,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Strength,,,,110KG,225KG,250KG,,,4
5,Diane Younes & Justina Mockute,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Strength,,,,98KG,195KG,253KG,,,5
6,Elizabeth Gonzalez & Natalia Castano,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Strength,,,,84KG,188KG,250KG,,,6
7,Caitlin Donahue & Paris Ammari,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Strength,,,,66KG,160KG,220KG,,,7
8,Chloe Foley & Kaya Barker,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX Pro,Strength,,,,68KG,138KG,153KG,,,8
1,Jonne Koski & Ella Wilkinson,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Strength,,,,152KG,320KG,340KG,,,1
2,Sebastian Dayoub & sarah guzman,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Strength,,,,125KG,270KG,310KG,,,2
3,Troy London & Monique London,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Strength,,,,115KG,290KG,285KG,,,3
4,Danielle Brandon & Cooper Marsh,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Strength,,,,135KG,220KG,310KG,,,4
5,Shereen Taljebini & Moe Romero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Strength,,,,115KG,240KG,270KG,,,5
6,Fady Issa & Andrea Hernandez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Strength,,,,108KG,205KG,250KG,,,6
1,Justin Tapper & Bryan Stewart,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,1 (995KG),2 (9.982KM),1 (13:30),,,,,,4
2,Danny Tuckerman & Eddy Rivero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,2 (890KG),4 (9.719KM),4 (14:03),,,,,,10
3,Marco Maraschin & Guillermo Pons,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,8 (650KG),1 (9.995KM),6 (14:31),,,,,,15
4,Patrick Sprague & Kevin Koester,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,3 (822KG),10 (9.394KM),2 (13:47),,,,,,15
5,Anthony Rice & Kenny Santucci,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,6 (710KG),6 (9.55KM),3 (13:48),,,,,,15
6,Simon Bratke & lauri.schwitalla Team,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,7 (675KG),5 (9.715KM),8 (16:05),,,,,,20
7,Bryan Quintanilla & Alejandro Guerrero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,11 (625KG),3 (9.802KM),11 (18:21),,,,,,25
7,Simon Serna & Edgar Guerrero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,9 (645KG),9 (9.465KM),7 (15:46),,,,,,25
9,Leandro Ferrari & Levi Cox,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Overall,4 (790KG),12 (9.073KM),10 (17:12),,,,,,26
